meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label,sex
0.211377749,0.056149789,0.234652956,0.174550129,0.254807198,0.080257069,2.46623054,10.13955413,0.894457422,0.303314441,0.247249357,0.211377749,0.122820094,0.04719764,0.279069767,0.849420363,0.0234375,5.0625,5.0390625,0.103192747,male,
0.196266671,0.056149498,0.185846926,0.14685069,0.255056462,0.108205772,1.527752392,4.850669384,0.885284874,0.253101967,0.258920954,0.196266671,0.136883258,0.050955414,0.277456647,1.210681352,0.0234375,8.7890625,8.765625,0.058729712,male,
0.201361796,0.062099223,0.230612245,0.139183673,0.26,0.120816327,1.792006424,5.825772978,0.865995258,0.237839355,0.274693878,0.201361796,0.14304482,0.048387097,0.279069767,0.739257813,0.0234375,6.65625,6.6328125,0.070096146,male,
0.202234216,0.061102721,0.236161616,0.13010101,0.251717172,0.121616162,3.358274947,17.05420558,0.863696845,0.307228128,0.245,0.202234216,0.134449652,0.053571429,0.279069767,0.68671875,0.0234375,4.8046875,4.78125,0.087455437,male,
0.19872951,0.061861764,0.184700162,0.137504052,0.262301459,0.124797407,1.83010477,5.685812695,0.870137864,0.271366863,0.136142626,0.19872951,0.126260247,0.047761194,0.279069767,0.854166667,0.0234375,8.953125,8.9296875,0.081989751,male,
0.198052488,0.063504762,0.215447871,0.133627019,0.259441997,0.125814978,1.92407837,6.352293287,0.872344668,0.280106416,0.130748899,0.198052488,0.130179817,0.048048048,0.277456647,1.102889151,0.0234375,8.53125,8.5078125,0.077405067,male,
0.188867078,0.062436733,0.174347202,0.132166428,0.24866571,0.116499283,2.069733704,7.386163932,0.892280453,0.403093253,0.126944046,0.188867078,0.120268926,0.048,0.272727273,0.819870283,0.0234375,7.640625,7.6171875,0.047015385,male,
0.201432758,0.060773454,0.237142857,0.133469388,0.251836735,0.118367347,2.359162047,9.162217069,0.857622808,0.234357104,0.24244898,0.201432758,0.128110703,0.047524752,0.279069767,0.75,0.0234375,4.5703125,4.546875,0.093331871,male,
0.193130845,0.061749731,0.198130841,0.134953271,0.250093458,0.115140187,2.070290496,7.730062071,0.883726387,0.346877117,0.122990654,0.193130845,0.137262409,0.047477745,0.279069767,1.229567308,0.0234375,5.2734375,5.25,0.144021739,male,
0.204714748,0.062560237,0.240104575,0.133594771,0.25730719,0.123712418,2.277400639,7.725929677,0.863854473,0.302391801,0.258771242,0.204714748,0.133749761,0.047058824,0.279069767,0.81796875,0.0234375,9.09375,9.0703125,0.05624662,male,
0.198218184,0.060369453,0.194858934,0.137805643,0.258056426,0.120250784,2.587019457,12.23812245,0.857448121,0.217783012,0.258495298,0.198218184,0.130345112,0.0537514,0.279069767,0.552379261,0.0234375,1.7109375,1.6875,0.144444444,male,
0.2012129,0.064532034,0.235215054,0.133602151,0.26155914,0.127956989,2.343255893,9.462485169,0.86906623,0.288968222,0.267956989,0.2012129,0.127005216,0.047012733,0.277456647,0.964092548,0.0234375,4.125,4.1015625,0.10547619,male,
0.193778467,0.059249352,0.184405286,0.1369163,0.250396476,0.113480176,1.561751694,5.199408012,0.901081374,0.318024787,0.241453744,0.193778467,0.13647952,0.046966732,0.277456647,1.090599798,0.0234375,4.8515625,4.828125,0.117122683,male,
0.196771869,0.060703367,0.229968652,0.129905956,0.248401254,0.118495298,2.2184224,8.867740762,0.863990763,0.236075134,0.121128527,0.196771869,0.127057222,0.048979592,0.277456647,0.910644531,0.0234375,7.3359375,7.3125,0.07727146,male,
0.202016037,0.062551282,0.233775372,0.133369418,0.258403248,0.125033829,2.132115852,7.58843794,0.872073986,0.283256988,0.262949932,0.202016037,0.121069123,0.046966732,0.277456647,0.898142689,0.0234375,8.4609375,8.4375,0.085770975,male,
0.19694481,0.061879828,0.213970149,0.138328358,0.254925373,0.116597015,1.66805534,5.103982359,0.87625746,0.267148168,0.250328358,0.19694481,0.127932396,0.0537514,0.277456647,1.0396875,0.140625,4.734375,4.59375,0.128826531,male,
0.206995718,0.061346297,0.219346049,0.147629428,0.266648501,0.119019074,2.300772276,8.059280593,0.87559088,0.290091572,0.268555858,0.206995718,0.133469808,0.047666336,0.258064516,1.226267689,0.1640625,5.2734375,5.109375,0.144916682,male,
